epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.72377,1.10756,4.07823,1.11681,0.52079,0.375,0.02856,0.01358,1.90262,7.08301,1.06528,1.667e-05,1.667e-05,1.667e-05
2,4.73075,1.39188,3.93254,1.25456,0.51968,0.375,0.03,0.01393,1.89954,6.80352,1.06733,4.91848e-05,4.91848e-05,4.91848e-05
3,5.8128,1.46,4.18242,1.2911,0.51861,0.375,0.03121,0.01458,1.88824,6.56916,1.0657,8.05995e-05,8.05995e-05,8.05995e-05
4,6.87119,1.25656,4.00254,1.10601,0.12053,0.75,0.15577,0.09867,1.57055,3.93309,0.94176,0.000110914,0.000110914,0.000110914
5,8.09282,1.04684,3.02211,1.04899,0.54375,0.625,0.55523,0.45734,0.72841,3.26251,0.76099,0.000140128,0.000140128,0.000140128
6,9.34867,0.89484,2.38748,1.01078,0.38605,0.75,0.53732,0.39742,0.92563,2.72291,0.83337,0.000168242,0.000168242,0.000168242
7,10.4851,0.98468,2.28294,1.10085,0.44323,0.99806,0.71375,0.50312,1.06603,2.22068,0.8928,0.000195256,0.000195256,0.000195256
8,12.2334,1.12162,2.09644,1.1695,0.42742,1,0.73806,0.55635,0.99715,2.22133,0.85214,0.000221169,0.000221169,0.000221169
9,13.991,1.09281,1.90132,1.13541,0.42908,1,0.71806,0.53095,0.99478,2.1055,0.85414,0.000245983,0.000245983,0.000245983
10,15.1058,0.92645,1.6685,1.05328,0.46393,0.99983,0.76306,0.5715,0.93657,1.93985,0.85591,0.000269696,0.000269696,0.000269696
11,16.2343,0.92907,1.68322,1.08678,0.44304,1,0.76306,0.62795,0.85051,1.8376,0.86905,0.000292308,0.000292308,0.000292308
12,17.4296,0.91415,1.57277,1.04024,0.73124,0.71775,0.89083,0.73219,0.8166,1.66928,0.86632,0.000313821,0.000313821,0.000313821
13,18.6034,0.91011,1.44835,1.06115,0.6634,0.79327,0.87208,0.69542,0.78331,1.59987,0.85939,0.000334234,0.000334234,0.000334234
14,19.8196,0.79019,1.31176,0.96633,0.70466,0.72731,0.83726,0.69339,0.7885,1.50246,0.87072,0.000353546,0.000353546,0.000353546
15,20.8815,0.8821,1.40184,1.05054,0.48671,1,0.78667,0.62024,0.85655,1.4417,0.87921,0.000371758,0.000371758,0.000371758
16,21.9294,0.96205,1.32231,1.0944,0.55078,0.83346,0.78354,0.59497,0.88698,1.75018,0.90612,0.000388869,0.000388869,0.000388869
17,23.0832,0.87549,1.20829,0.98866,0.72501,0.875,0.845,0.60799,0.96425,1.72705,0.91987,0.000404881,0.000404881,0.000404881
18,24.6625,0.86054,1.13109,1.02575,0.8299,0.87263,0.89708,0.65736,1.0236,1.46832,0.91369,0.000419792,0.000419792,0.000419792
19,26.3399,0.87063,1.02701,1.02068,0.56705,0.875,0.75542,0.55205,0.8993,2.04044,0.92022,0.000433603,0.000433603,0.000433603
20,27.393,0.86851,0.98136,1.02896,0.68381,0.625,0.58667,0.4068,0.92636,2.39606,0.9539,0.000446314,0.000446314,0.000446314
